timestamp,test-class,test-method,time,description,result
2021-09-09 14:08:15.848,acme.testing.anonymous.AnonymousShoutListTest,listAll,2640,"[1] recordIndex=0, author=John Doe, text=I'm happy!",OK
2021-09-09 14:08:17.832,acme.testing.anonymous.AnonymousShoutListTest,listAll,1493,"[2] recordIndex=1, author=Juan Doe, text=Estoy feliz!",OK
2021-09-09 14:08:19.759,acme.testing.anonymous.AnonymousShoutListTest,listAll,1490,"[3] recordIndex=2, author=John Doe Again, text=I'm still happy!",OK
2021-09-09 14:08:21.573,acme.testing.anonymous.AnonymousShoutListTest,listAll,1454,"[4] recordIndex=3, author=I am not John Doe, text=I'm not happy!",OK
2021-09-09 14:08:37.485,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,4915,"[1] recordIndex=0, author=John Du, text=You're fired!, info=http://www.example.org",OK
2021-09-09 14:08:41.455,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,3660,"[2] recordIndex=0, author=Lewis Pill, text=I'm sad!, info=http://www.example.org",OK
2021-09-09 14:08:45.459,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,3641,"[3] recordIndex=0, author=Cataline Poumonce, text=Shout!, info=http://www.example.org",OK
2021-09-09 14:08:49.438,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,3638,"[4] recordIndex=0, author=Carlos Tuitomne, text=Ey!, info=http://www.example.org",OK
2021-09-09 14:08:53.309,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,3586,"[5] recordIndex=0, author=Ricar Mow, text=Wow!, info=http://www.example.org",OK
2021-09-09 14:08:55.745,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2123,"[1] recordIndex=0, author=null, text=You're fired!, info=http://www.example.org",OK
2021-09-09 14:08:58.186,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2150,"[2] recordIndex=0, author=Lewis Pill, text=null, info=http://www.example.org",OK
2021-09-09 14:09:00.635,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2138,"[3] recordIndex=0, author=null, text=null, info=http://www.example.org",OK
2021-09-09 14:09:03.046,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2110,"[4] recordIndex=0, author=sex, text=null, info=http://www.example.org",OK
2021-09-09 14:09:05.56,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2110,"[5] recordIndex=0, author=Test, text=sexTextsex, info=http://www.example.org",OK
2021-09-09 14:09:21.139,acme.testing.spam.SpamShowTest,showPositive,5368,"[1] threshold=10.00, words=sex, hardcore, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, viagra, cialis, nigeria, has ganado, 1 millón de dólares, 1 millon de dolares, un millón de dólares , un millon de dolares",OK
2021-09-09 14:09:26.236,acme.testing.spam.SpamShowTest,showNegative,4750,"[1] threshold=12.00, words=this is not what is supposed to be shown, and this another example which should not be marked as spam",OK
